File,X,Y,Z
F06D2V1,0.581,1.025,-3.451
F06D3V1,0.616,1.026,-3.495
F06D4V1,0.588,1.028,-3.761
F06D5V1,0.734,1.023,-3.724
F06D5V2,0.715,1.024,-3.87
F06D5V3,0.723,1.02,-3.905
F06F0V1,0.075,1.022,-0.572
F06F0V2,-0.248,1.024,-0.441
F06F0V3,-0.406,1.023,-0.178
F06F1V1,-0.325,1.027,-0.512
F06F2V1,-0.35,1.024,0.022
F06F2V2,-0.322,1.024,-0.039
F06F3V1,-0.306,1.028,-0.142
F06F3V2,-0.497,1.028,-0.232
F06F3V3,-0.592,1.028,-0.392
F06F4V1,-0.602,1.026,-0.495
F06F5V1,-0.737,1.028,-0.522
F06H0V1,0.886,1.027,-2.271
F06H0V2,0.768,1.027,-2.365
F06H0V3,0.77,1.026,-2.491
F06H0V4,0.012,1.026,-0.024
F06H1V1,-0.247,1.039,-0.253
F06H2V1,-0.094,1.022,-0.172
F06H3V1,-0.577,1.024,-0.195
F06H4V1,0.045,1.026,0.064
F06H5V1,-0.517,1.026,-0.165
F06N1V1,-0.647,1.018,-0.258
F06N2V1,-0.65,1.022,-0.287
F06N3V1,-0.643,1.017,-0.309
F06N4V1,-0.605,1.022,-0.273
F06N5V1,-0.701,1.024,-0.001
F06N5V2,0.017,1.024,-0.034
F06SA0V1,-0.477,1.022,-0.041
F06SA0V2,-0.486,1.023,-0.978
F06SA1V1,0.763,1.026,-3.971
F06SA2V1,0.659,1.026,-4.079
F06SA2V2,0.678,1.025,-4.094
F06SA2V3,-0.059,1.027,0.01
F06SA3V1,-0.09,1.026,0.036
F06SA4V1,-0.023,1.024,0.009
F06SA5V1,-0.006,1.024,-0.083
F06SA5V2,-0.054,1.023,-0.146
F06SU0V1,0.135,1.024,-0.273
F06SU0V2,-0.096,1.019,-0.012
F06SU1V1,-0.014,1.022,0.052
F06SU1V2,-0.076,1.025,-0.007
F06SU1V3,-0.245,1.026,-0.117
F06SU1V4,-0.427,1.017,-0.342
F06SU2V1,-0.311,1.026,-0.413
F06SU2V2,-0.359,1.027,-0.484
F06SU2V3,-0.61,1.027,-0.082
F06SU2V4,-0.656,1.027,-0.055
F06SU3V1,-0.332,1.045,-0.606
F06SU3V2,-0.399,1.028,-0.319
F06SU3V3,-0.616,1.029,-0.002
F06SU4V1,-0.236,1.026,-0.016
F06SU4V2,-0.342,1.027,0.017
F06SU4V3,-0.316,1.028,-0.412
F06SU5V1,-0.644,1.027,0.011
F07A0V1,-2.484,1.019,-1.165
F07A0V2,-0.751,1.04,-0.379
F07A0V3,-3.163,1.029,-2.396
F07A0V4,-3.19,1.028,-2.45
F07A1V1,-1.044,1.029,0.73
F07A2V1,-1.369,1.025,0.992
F07A3V1,-1.369,1.028,0.898
F07A4V1,-0.511,1.025,-0.018
F07A5V1,-0.572,1.027,-0.22
F07D0V1,-0.645,1.021,-0.686
F07D0V2,-1.274,1.022,-0.835
F07D1V1,-0.554,1.028,-0.378
F07D1V2,-0.544,1.024,-0.433
F07D1V3,-0.579,1.024,-0.539
F07D2V1,-0.602,1.023,-0.596
F07D2V2,-0.663,1.02,-0.7
F07D2V3,-0.722,1.028,-0.277
F07D3V1,-0.22,1.024,-0.34
F07D3V2,-0.125,1.028,-0.479
F07D4V1,-0.705,1.026,-0.642
F07D5V1,-0.026,1.038,-0.46
F07F0V1,-3.419,1.03,-2.662
F07F1V1,-1.052,1.025,-0.393
F07F1V2,-1.226,1.026,-0.391
F07F2V1,-1.279,1.027,-0.707
