File,X,Y,Z
M10SU3V1,-0.769,1.028,-0.059
M10SU3V2,-0.855,1.029,-0.047
M10SU3V3,-0.877,1.029,-0.089
M10SU4V1,-0.93,1.029,-0.115
M10SU4V2,-0.939,1.029,-0.149
M10SU4V3,-0.628,1.026,-0.119
M10SU5V1,-0.658,1.029,-0.089
M10SU5V2,-0.682,1.03,-0.125
M11A0V1,1.06,1.024,-1.819
M11A1V1,0.715,1.02,-2.123
M11A2V1,0.686,1.021,-2.091
M11A3V1,0.747,1.022,-2.087
M11A4V1,0.642,0.955,-2.13
M11A5V1,0.872,1.019,-2.121
M11D0V1,1.002,1.027,-2.141
M11D0V2,0.973,1.029,-1.971
M11D1V1,0.023,1.016,0.196
M11D2V1,-0.016,1.014,0.321
M11D2V2,-0.065,1.015,0.343
M11D3V1,-0.121,1.018,0.323
M11D4V1,-0.108,1.015,-0.042
M11D5V1,-0.294,1.014,0.232
M11F0V1,1.104,1.025,-1.831
M11F0V2,1.03,1.026,-1.75
M11F0V3,1.031,1.024,-2.337
M11F1V1,1.399,1.011,-2.33
M11F1V2,0.055,1.018,-0.011
M11F1V3,0.078,1.02,0.039
M11F2V1,0.205,1.021,0.158
M11F3V1,0.279,1.021,0.119
M11F4V1,0.189,1.018,0.196
M11F4V2,-0.287,1.02,0.149
M11F5V1,-0.236,1.019,0.001
M11H0V1,1.059,1.028,-1.546
M11H0V2,0.99,1.025,-1.814
M11H1V1,0.041,1.02,0.072
M11H1V2,0.484,1.022,-0.14
M11H2V1,0.496,1.02,-0.091
M11H3V1,0.746,1.015,-0.296
M11H4V1,0.694,1.017,-0.078
M11H5V1,0.711,1.021,-0.024
M11N1V1,0.899,1.025,-2.187
M11N2V1,0.887,1.024,-2.142
M11N2V2,0.964,1.027,-2.313
M11N3V1,0.825,1.007,-2.189
M11N4V1,1.001,1.019,-2.151
M11N5V1,0.856,1.025,-2.159
M11SA0V1,1.102,1.023,-1.849
M11SA1V1,-0.134,1.02,0.282
M11SA2V1,-0.132,1.013,0.282
M11SA3V1,-0.117,1.02,0.237
M11SA3V2,-0.035,1.016,0.186
M11SA4V1,-0.015,1.016,0.224
M11SA5V1,0.003,1.017,0.232
M11SU0V1,0.946,1.027,-2.025
M11SU1V1,0.909,1.022,-2.414
M11SU2V1,0.836,1.02,-2.262
M11SU3V1,0.878,1.02,-2.333
M11SU4V1,1.19,1.02,-2.582
M11SU5V1,1.129,1.02,-2.332
